shock,Wald,lag,dof,asy_p,cv10,cv5,cv1,decision_5pct
Positive,0.048243818771514055,1,1,0.8261478323255115,0.3594382368186287,0.5162611076688535,0.9617452026297244,Fail to reject
Negative,0.27100857373100773,1,1,0.6026560136474037,0.3619023805023708,0.4990609003342802,0.9467098707636902,Fail to reject
