,sub_start,sub_end,lag,Wald,cv10,cv5,cv1,ratio_5pct
0,1,21,1,0.015717752542265994,0.38872866790411226,0.5042445745524347,1.0243576069798113,0.031170890745263854
1,2,22,2,0.004727385854945311,4.0946096574578466,5.75780694215539,9.340903906763202,0.0008210393127866235
2,3,23,1,0.04545268600751886,0.7917186332334513,1.3479088299120394,2.7416213728542007,0.033720890462958814
3,4,24,1,0.015910599700105398,1.0719758469977818,1.5571917785792688,4.2206844859355375,0.01021749531366118
4,5,25,1,0.03487460345272351,0.8128173088339543,1.648042288236189,3.13652291051893,0.021161230935431836
5,6,26,2,0.30867281499279975,6.197254321460694,8.810894633329989,41.90839124230663,0.0350330843618476
6,7,27,2,0.4258905751051047,8.997652456683817,16.176459825847118,41.42431349295805,0.026327798522678428
7,8,28,3,5.581956384234314,9.145917465951264,18.91929287790991,39.96880743894636,0.29504043413545245
8,9,29,2,1.9068302948079887,7.1433632429802625,11.520194008098231,35.464749579112144,0.16552067556046052
9,10,30,2,1.684142363051219,4.437634529219643,7.347180533291803,10.506727572616676,0.22922294551222386
10,11,31,3,12.029778971215988,9.18083442635995,18.06567949725387,30.96357790807742,0.6658913091558284
11,12,32,2,3.720630525291308,5.8807051575937335,7.553927929450232,18.604331825758827,0.49254249710085496
12,13,33,2,3.5970174048606944,3.5733372568250106,4.389500336872134,8.300752296402358,0.8194594210747581
13,14,34,1,0.03959724066024092,0.4312858501740526,0.5352019301788612,1.2442993846179073,0.07398560884675391
14,15,35,1,0.011996793610358799,0.3559287070174283,0.4257979153482367,1.5066460907911496,0.028174852853723537
15,16,36,1,0.0003605260566758012,0.4070456082137027,0.5894914483854959,1.29039969114849,0.0006115882726767504
16,17,37,2,4.17761324479005,6.571641271350372,9.300074905881463,30.88139892862934,0.4492021071946511
17,18,38,1,0.08321249016882692,0.5403440413416678,0.9383746050673019,1.7795956042831935,0.08867726142573816
18,19,39,1,0.012621792820026493,0.6450925938623194,0.9218795594088359,2.2648248961248365,0.01369136856458813
19,20,40,1,0.16697663531085064,0.5598252805561817,0.6698423500549334,1.0809280268958288,0.2492775132792917
20,21,41,1,0.21286225247933235,0.3674394043946827,0.5388447772016185,0.8526066626064397,0.39503445423520567
21,22,42,1,0.34484051061605653,0.5764848613659148,0.7380389637339526,1.1211454966582663,0.467238895994608
22,23,43,1,0.5097249055034724,0.5046881139032182,0.6639061082409422,1.6538531421306186,0.7677665549034006
23,24,44,1,0.4526917951600341,0.5278269930649095,0.7672762581246588,4.421582269935597,0.589998439762078
24,25,45,1,0.6110984693832864,0.5031821101289634,0.614925586957862,1.755797296566029,0.9937762915452761
25,26,46,1,0.46371048393219944,0.5901360336342102,0.7698599091829956,1.5622734017019697,0.6023309934716649
26,27,47,3,1.4180875143718414,10.29787415744234,12.227582095235302,27.120843265059143,0.11597448320747115
27,28,48,1,0.011276812235478327,0.4752098827781637,0.8497352415722128,1.3102775388681032,0.013270971572996709
28,29,49,1,0.1473364093389081,0.6375087187315158,0.8716000638508075,1.2484136101086365,0.16904130168137274
29,30,50,1,0.14562529012334577,0.5566477013888231,0.7283994244991543,2.3359049783131898,0.19992504829816055
30,31,51,1,0.1728104038420439,0.7828748427198245,1.3273742484705107,2.131238433626898,0.13018966131154616
31,32,52,1,0.19755960440375386,0.6368959690407627,1.014330067363724,2.3051523765603465,0.19476855784943606
32,33,53,1,0.09234742236419696,1.0173600401663327,1.2583941727871573,4.36655565479394,0.07338513190955188
33,34,54,1,0.1242031171624871,0.6828327455940715,1.3022360865362694,2.424953641809039,0.09537680490244027
34,35,55,1,0.3855995890574595,0.9328872539451047,1.1640519741456066,1.6193203249579389,0.3312563335846604
35,36,56,1,0.3748759554202553,0.7863639723516087,1.6340910516426352,3.0402403335655253,0.2294094659189396
36,37,57,1,0.29508341745559996,0.8044534345793095,0.9434103413599269,4.501719615071594,0.31278374268214715
37,38,58,1,0.12069074469426071,0.8402012750395402,0.9988070646312891,2.898071241142947,0.12083489291178957
38,39,59,1,0.09363357824870305,0.5869834810633916,1.0433899621022076,3.5510161136237652,0.08973977290336532
39,40,60,3,0.38491526675705107,9.909574666873635,12.631781309247367,55.345655769069275,0.030471970447688606
40,41,61,1,9.305217303630165e-05,0.6050412928133108,0.9521567561864506,1.9663565832172112,9.772778739604957e-05
41,42,62,1,0.00121121425377581,0.7688721713056,1.2014785008841549,4.041949425875691,0.0010081031436554968
42,43,63,1,0.0012306167073822673,1.268491220176973,2.292477974840998,26.01450219162847,0.0005368063383324852
43,44,64,2,0.4547832669297388,11.619435912443553,15.37092617357172,39.05643133964155,0.029587239037793225
44,45,65,2,7.044436685073234,2.940635032565427,4.078849332332415,9.464202268790228,1.727064696710678
45,46,66,3,5.299072298524605,4.83039604412298,13.448966289634868,46.92003776559422,0.3940133527294663
46,47,67,2,0.1440039754715212,2.380306394379648,3.902253937730326,12.857061787192125,0.0369027689559533
47,48,68,2,0.03413687608488094,3.7395467156046065,5.410002160289517,13.197624491896754,0.00630995609122901
48,49,69,2,0.06469407047689467,4.049873524634606,5.854186530996538,14.617304796429334,0.011050906925215796
49,50,70,1,0.012742586334386302,0.32472109161491003,0.5328188425195193,1.47598959382222,0.023915419871660206
50,51,71,1,0.0060368038611393416,0.31437318030647243,0.4810409226783272,3.4088450971014552,0.01254946009068788
51,52,72,1,0.008802822295369744,0.28384286543439186,0.3230315606442472,1.0236799668651047,0.02725065711168774
52,53,73,1,0.0032807435930289897,0.32544413323272336,0.3927398451732652,0.9082110232733176,0.008353477838699108
53,54,74,1,6.808860888617259e-05,0.3295839375674122,0.4659207778298613,0.9997692362809285,0.000146137738701656
54,55,75,1,9.297628042005263e-05,0.3045460058636353,0.432901756533533,1.4847686256060764,0.00021477455107727332
55,56,76,1,0.004659191109813944,0.2722105017551489,0.389431816996079,1.0474307730924588,0.011964074085556435
56,57,77,1,0.005462431060811597,0.32970612432431695,0.6206386952893679,1.5344457584305817,0.00880130598087311
57,58,78,1,0.0045158510892348005,0.24198441111143965,0.3226593333039237,0.5159580734769202,0.013995724354209732
58,59,79,1,0.0027699070312466206,0.2522038689349266,0.42163789718855255,0.5746326153687051,0.0065693976981579146
59,60,80,3,0.06635846316939058,6.003900978408097,10.037924909859438,20.285028880989977,0.006610775012294827
60,61,81,3,0.41774277825302963,3.243476597239195,5.26935308501117,10.163098264490273,0.07927781105451279
61,62,82,3,0.4102543084172662,3.9981019232684143,7.655373506380952,14.847110102037854,0.053590371269972466
62,63,83,2,0.18024866495645536,3.4181459986126166,5.410710846343988,15.246746588036945,0.0333133057883234
63,64,84,1,0.13237641411013984,0.3681522774393809,0.5444601881880213,1.0310603968588483,0.24313332174147062
64,65,85,1,0.024816437451110798,0.38284644951247554,0.5070181399313584,1.2055162502941592,0.048945857153100125
65,66,86,1,0.020571040564729224,0.38609051316019294,0.5650528012853537,1.7606237462710244,0.03640551912659357
66,67,87,1,0.011914249683269604,0.5981975773758498,0.9986213752159365,3.577468321654835,0.01193069763872552
67,68,88,3,0.5372739338480528,8.734309558113619,14.006612473006932,48.3400386635667,0.03835859204953866
68,69,89,2,2.7197647779706116,5.7702526403564,8.520835217012117,88.44043968004678,0.31918992783013983
69,70,90,1,0.10874267209481575,0.5146294272121144,0.6161865893678173,2.1931999481017694,0.17647685615225958
70,71,91,2,4.152230846923638,4.242218005406885,7.2437236281952995,12.534926992701786,0.5732177344206772
71,72,92,2,3.962952915274392,5.01150832877292,5.685272058231243,13.4404883392677,0.697055985128584
72,73,93,1,0.4585474752961913,0.9935105184993924,1.6163123003646656,2.518512638758415,0.2836997993474007
73,74,94,1,0.3510172699820936,1.1947557951849144,2.242311712017578,4.268577994225508,0.1565425842004173
74,75,95,1,0.16176031494991305,0.9748432315960945,1.7615825304457098,3.0738755358091523,0.09182670249856814
75,76,96,1,0.22717138720984112,1.468575399943441,2.037096585669494,5.004468948344792,0.11151723919618717
76,77,97,1,0.20101764237137626,1.0771117323331683,1.6225639476193603,4.836640333662542,0.12388888750197553
