,sub_start,sub_end,lag,Wald,cv10,cv5,cv1,ratio_5pct
0,1,21,1,0.692343829519943,0.32221094836369335,0.5034254771231563,0.8023165976806574,1.3752657761310922
1,2,22,1,0.7247084459173058,0.21688266507774537,0.34923380560484774,0.6484914536522666,2.0751383007213837
2,3,23,3,0.18444822780015957,4.971976952685859,9.932021313383192,19.55735983606702,0.018571066450654854
3,4,24,3,0.28856693538237427,4.93713250064138,7.519421541637671,28.718677794558065,0.03837621468413203
4,5,25,2,0.14723199268987283,4.757459085570803,7.3576050429669415,37.65774936631226,0.020010858401622193
5,6,26,1,0.1651334406948014,0.22974245497373857,0.386104230353258,0.591596245513158,0.427691353041421
6,7,27,1,0.10107036445352584,0.16291773029462395,0.3311966387266808,1.0519786201862862,0.3051672409541991
7,8,28,1,0.08762066826801414,0.2267536605958123,0.49608116490118154,2.086391917730575,0.17662567028818363
8,9,29,3,1.5940445170068858,6.060099462055348,9.295893557529109,25.9563818231222,0.1714783530105943
9,10,30,3,0.6029396878008848,7.211378237816206,11.06032405083083,20.096804955614907,0.054513745260076095
10,11,31,2,0.12154942536506523,3.3492080995008005,5.6977978933018685,15.194100405974023,0.02133270214936098
11,12,32,1,0.0023008333549239765,0.02698157038717481,0.10908759660559639,0.337506422952961,0.02109161285533299
12,13,33,1,0.0019508339949702886,0.07463755414799433,0.12309666835130396,0.22602665099491395,0.015847983711491112
13,14,34,1,0.0025186137604244242,0.061963560204563756,0.16642326194062917,0.5115494731637713,0.01513378437037804
14,15,35,1,0.004668793509941413,0.07032732379235193,0.09487702464768255,0.3024249102053336,0.04920889464312952
15,16,36,3,0.7848487360121561,4.495375145783029,8.265981326580697,18.659459709483812,0.09494925103306716
16,17,37,2,0.05574590397881063,5.3652245007289,10.239233679679952,15.958172466092925,0.0054443433681409135
17,18,38,1,0.05050354545406571,1.088226680720355,1.813000633277495,3.3403318868139213,0.027856330840197625
18,19,39,1,0.05692727142528383,2.0161528727270106,2.9637212099836274,10.658615037165951,0.01920803860819227
19,20,40,1,0.0003427947429218663,0.8828983769334606,1.115972218966482,6.331386789455381,0.0003071713946780265
20,21,41,1,4.361275708474765e-05,0.5383116252789326,1.2310029006919176,3.0147235643248136,3.542863876294195e-05
21,22,42,1,4.5992390449646196e-05,0.557174352345466,0.7758406832702822,1.5630025328849955,5.928071502487022e-05
22,23,43,1,0.0034282008761301695,0.6099650978385194,1.0612114980636784,1.541158942479547,0.0032304596043158016
23,24,44,2,0.15685147021035004,3.2446813931843224,4.928421598975523,9.13206638991684,0.03182590349879055
24,25,45,1,0.008632346688624757,1.0133540712004971,1.3680841877933911,4.075763868003298,0.006309806637373707
25,26,46,1,0.01052395392500818,0.5371196132564768,0.7626404684428881,1.079825895617752,0.013799364655399594
26,27,47,1,0.70513899043577,0.9217372827984767,1.4206833288520722,5.810642865787896,0.4963379073403572
27,28,48,1,0.7671599764948512,0.6587414316584314,1.05839853215637,4.1516435087645105,0.724830914997442
